2015-08-22 13:48:03 EDT [17446]: [19-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 13:48:03 EDT [17446]: [20-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.015 s; sync files=0, longest=0.000 s, average=0.000 s; distance=4 kB, estimate=102 kB
2015-08-22 13:48:55 EDT [23278]: [1-1] user=mark,db=dbt3,app=psql,client=[local] LOG:  Getting relation statistics for pg_temp_8.tmp_orderkey4
2015-08-22 13:48:55 EDT [23278]: [2-1] user=mark,db=dbt3,app=psql,client=[local] STATEMENT:  ANALYZE tmp_orderkey4;
2015-08-22 13:48:55 EDT [23278]: [3-1] user=mark,db=dbt3,app=psql,client=[local] LOG:  Getting detailed statistics for pg_temp_8.tmp_orderkey4
2015-08-22 13:48:55 EDT [23278]: [4-1] user=mark,db=dbt3,app=psql,client=[local] STATEMENT:  ANALYZE tmp_orderkey4;
2015-08-22 13:53:04 EDT [17446]: [21-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 13:53:06 EDT [17446]: [22-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 24 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=2.317 s, sync=0.016 s, total=2.338 s; sync files=18, longest=0.001 s, average=0.000 s; distance=114 kB, estimate=114 kB
2015-08-22 13:58:04 EDT [17446]: [23-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 13:58:04 EDT [17446]: [24-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.022 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3 kB, estimate=103 kB
2015-08-22 14:03:04 EDT [17446]: [25-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 14:03:04 EDT [17446]: [26-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.015 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3 kB, estimate=93 kB
2015-08-22 14:08:04 EDT [17446]: [27-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 14:08:04 EDT [17446]: [28-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.015 s; sync files=0, longest=0.000 s, average=0.000 s; distance=4 kB, estimate=84 kB
2015-08-22 14:13:04 EDT [17446]: [29-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 14:13:07 EDT [17446]: [30-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 23 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=2.216 s, sync=0.015 s, total=2.236 s; sync files=17, longest=0.002 s, average=0.000 s; distance=106 kB, estimate=106 kB
2015-08-22 14:14:34 EDT [25585]: [1-1] user=,db=,app=,client= LOG:  Getting relation statistics for public.time_statistics
2015-08-22 14:14:34 EDT [25585]: [2-1] user=,db=,app=,client= LOG:  Getting detailed statistics for public.time_statistics
2015-08-22 14:17:18 EDT [25851]: [1-1] user=mark,db=dbt3,app=psql,client=[local] LOG:  Getting relation statistics for pg_temp_8.tmp_orderkey5
2015-08-22 14:17:18 EDT [25851]: [2-1] user=mark,db=dbt3,app=psql,client=[local] STATEMENT:  ANALYZE tmp_orderkey5;
2015-08-22 14:17:18 EDT [25851]: [3-1] user=mark,db=dbt3,app=psql,client=[local] LOG:  Getting detailed statistics for pg_temp_8.tmp_orderkey5
2015-08-22 14:17:18 EDT [25851]: [4-1] user=mark,db=dbt3,app=psql,client=[local] STATEMENT:  ANALYZE tmp_orderkey5;
2015-08-22 14:18:04 EDT [17446]: [31-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 14:18:06 EDT [17446]: [32-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 24 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=2.317 s, sync=0.017 s, total=2.339 s; sync files=18, longest=0.002 s, average=0.000 s; distance=109 kB, estimate=109 kB
2015-08-22 14:23:04 EDT [17446]: [33-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 14:23:07 EDT [17446]: [34-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 25 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=2.417 s, sync=0.017 s, total=2.439 s; sync files=18, longest=0.002 s, average=0.000 s; distance=114 kB, estimate=114 kB
2015-08-22 14:28:04 EDT [17446]: [35-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 14:28:04 EDT [17446]: [36-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.411 s, sync=0.005 s, total=0.421 s; sync files=5, longest=0.001 s, average=0.001 s; distance=28 kB, estimate=105 kB
2015-08-22 14:33:04 EDT [17446]: [37-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 14:33:04 EDT [17446]: [38-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.015 s; sync files=0, longest=0.000 s, average=0.000 s; distance=4 kB, estimate=95 kB
2015-08-22 14:38:04 EDT [17446]: [39-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 14:38:06 EDT [17446]: [40-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 20 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=1.915 s, sync=0.011 s, total=1.931 s; sync files=12, longest=0.001 s, average=0.000 s; distance=111 kB, estimate=111 kB
2015-08-22 14:40:35 EDT [27914]: [1-1] user=,db=,app=,client= LOG:  Getting relation statistics for public.time_statistics
2015-08-22 14:40:35 EDT [27914]: [2-1] user=,db=,app=,client= LOG:  Getting detailed statistics for public.time_statistics
2015-08-22 14:43:04 EDT [17446]: [41-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 14:43:04 EDT [17446]: [42-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.015 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3 kB, estimate=101 kB
2015-08-22 14:46:20 EDT [28415]: [1-1] user=mark,db=dbt3,app=psql,client=[local] LOG:  Getting relation statistics for pg_temp_8.tmp_orderkey6
2015-08-22 14:46:20 EDT [28415]: [2-1] user=mark,db=dbt3,app=psql,client=[local] STATEMENT:  ANALYZE tmp_orderkey6;
2015-08-22 14:46:20 EDT [28415]: [3-1] user=mark,db=dbt3,app=psql,client=[local] LOG:  Getting detailed statistics for pg_temp_8.tmp_orderkey6
2015-08-22 14:46:20 EDT [28415]: [4-1] user=mark,db=dbt3,app=psql,client=[local] STATEMENT:  ANALYZE tmp_orderkey6;
2015-08-22 14:48:04 EDT [17446]: [43-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 14:48:07 EDT [17446]: [44-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 26 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=2.517 s, sync=0.016 s, total=2.538 s; sync files=18, longest=0.002 s, average=0.000 s; distance=115 kB, estimate=115 kB
2015-08-22 14:53:04 EDT [17446]: [45-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 14:53:04 EDT [17446]: [46-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.015 s; sync files=0, longest=0.000 s, average=0.000 s; distance=4 kB, estimate=104 kB
2015-08-22 14:58:04 EDT [17446]: [47-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 14:58:04 EDT [17446]: [48-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.014 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3 kB, estimate=94 kB
2015-08-22 15:03:04 EDT [17446]: [49-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 15:03:04 EDT [17446]: [50-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.015 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3 kB, estimate=85 kB
2015-08-22 15:08:04 EDT [17446]: [51-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 15:08:04 EDT [17446]: [52-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.001 s, total=0.016 s; sync files=1, longest=0.001 s, average=0.001 s; distance=11 kB, estimate=77 kB
2015-08-22 15:12:36 EDT [30695]: [1-1] user=,db=,app=,client= LOG:  Getting relation statistics for public.time_statistics
2015-08-22 15:12:36 EDT [30695]: [2-1] user=,db=,app=,client= LOG:  Getting detailed statistics for public.time_statistics
2015-08-22 15:13:05 EDT [17446]: [53-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 15:13:05 EDT [17446]: [54-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.015 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3 kB, estimate=70 kB
2015-08-22 15:16:46 EDT [31039]: [1-1] user=mark,db=dbt3,app=psql,client=[local] LOG:  Getting relation statistics for pg_temp_8.tmp_orderkey7
2015-08-22 15:16:46 EDT [31039]: [2-1] user=mark,db=dbt3,app=psql,client=[local] STATEMENT:  ANALYZE tmp_orderkey7;
2015-08-22 15:16:46 EDT [31039]: [3-1] user=mark,db=dbt3,app=psql,client=[local] LOG:  Getting detailed statistics for pg_temp_8.tmp_orderkey7
2015-08-22 15:16:46 EDT [31039]: [4-1] user=mark,db=dbt3,app=psql,client=[local] STATEMENT:  ANALYZE tmp_orderkey7;
2015-08-22 15:18:05 EDT [17446]: [55-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 15:18:08 EDT [17446]: [56-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 32 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=3.118 s, sync=0.030 s, total=3.253 s; sync files=20, longest=0.007 s, average=0.001 s; distance=143 kB, estimate=143 kB
2015-08-22 15:23:05 EDT [17446]: [57-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 15:23:05 EDT [17446]: [58-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.016 s; sync files=0, longest=0.000 s, average=0.000 s; distance=4 kB, estimate=129 kB
2015-08-22 15:28:05 EDT [17446]: [59-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 15:28:05 EDT [17446]: [60-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 1 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.002 s, total=0.017 s; sync files=1, longest=0.001 s, average=0.001 s; distance=3 kB, estimate=116 kB
2015-08-22 15:33:05 EDT [17446]: [61-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 15:33:05 EDT [17446]: [62-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.015 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3 kB, estimate=105 kB
2015-08-22 15:34:25 EDT [32547]: [1-1] user=mark,db=dbt3,app=psql,client=[local] LOG:  Getting relation statistics for pg_temp_2.tmp_orderkey8
2015-08-22 15:34:25 EDT [32547]: [2-1] user=mark,db=dbt3,app=psql,client=[local] STATEMENT:  ANALYZE tmp_orderkey8;
2015-08-22 15:34:25 EDT [32547]: [3-1] user=mark,db=dbt3,app=psql,client=[local] LOG:  Getting detailed statistics for pg_temp_2.tmp_orderkey8
2015-08-22 15:34:25 EDT [32547]: [4-1] user=mark,db=dbt3,app=psql,client=[local] STATEMENT:  ANALYZE tmp_orderkey8;
2015-08-22 15:34:25 EDT [17443]: [2-1] user=,db=,app=,client= LOG:  received fast shutdown request
2015-08-22 15:34:25 EDT [17443]: [3-1] user=,db=,app=,client= LOG:  aborting any active transactions
2015-08-22 15:34:25 EDT [17449]: [2-1] user=,db=,app=,client= LOG:  autovacuum launcher shutting down
2015-08-22 15:34:25 EDT [17446]: [63-1] user=,db=,app=,client= LOG:  shutting down
2015-08-22 15:34:25 EDT [17446]: [64-1] user=,db=,app=,client= LOG:  checkpoint starting: shutdown immediate
2015-08-22 15:34:25 EDT [17446]: [65-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 24 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.011 s, sync=0.016 s, total=0.034 s; sync files=19, longest=0.001 s, average=0.000 s; distance=101 kB, estimate=105 kB
2015-08-22 15:34:25 EDT [17446]: [66-1] user=,db=,app=,client= LOG:  database system is shut down
